category,n_baseline_quarters,baseline_mu_ev,baseline_sigma_ev,ev_q1_2026,n_q1_2026,z_score,verdict
POLITICS,7,-0.1359753534776313,0.15642279164700768,0.17263416103170737,48585,1.9729191076308366,NOISE
SPORTS,6,-0.0005657150748508097,0.062370126079297726,0.07615227899198299,109749,1.2300439150835467,NOISE
OTHER,6,0.01599489859892893,0.05878920042704235,0.04470025294447599,35717,0.4882759781904251,NOISE
